Dataset Name,Bait source (initial),Data source,Data source link,Treatment regimen,Data availability,Cancer type,Standardized Tissue,Treatment type,Multi-omics,Sample size,Criteria for R,Criteria for NR,Number of R,Number of NR,Drug targets,NCT ID,Pubmed link,Marker data ,Tissue collection,Prior treatment status,Inclusion criteria,Treatment regimen details,Therapy type,Code availability (BHK Lab),Processed data availability,Link to ORCESTRA,Usage status in meta-analysis,Additional notes
GSE22093,CTRDB,NCI GEO,GSE22093,FEC (Cyclophosphamide+Epirubicin+Fluorouracil),,Breast cancer,Breast,Chemotherapy,Microarray,43,pCR,RD,8,35,,,"https://pubmed.ncbi.nlm.nih.gov/21191116,23185353",HER2-normal lymph node-negative,NA,NA,NA,"Patients from preoperative datasets recived chemotherapy regimen
with paclitaxel and 5-fluorouracil, doxorubicin, and cyclophosphamide",Combination,No,No,NA,,"CTRDB ID: CTR_Microarray_5. CTRDB        GSE32646        TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel)        Breast cancer        Chemotherapy        Microarray        pCR (Annotation: Pathological complete response was defined as no evidence of residual invasive cancer in both breast and axilla.)        nCR        44        19        25                        https://pubmed.ncbi.nlm.nih.gov/22320227        Glutathione S-transferase P1 by IHC; HER2 FISH; Ki-67; GSTP1 promoter methylation        Prior to NAC, every patient underwent vacuum-assisted core biopsy of tumors. The tumor samples obtained were then subjected to histological examination and DNA and RNA extraction.        Yes; In this study, primary breast cancer patients (n = 123, stage II–III) treated with neoadjuvant (NAC) P-FEC were analyzed.                Primary breast cancer patients (n = 123, T1-4b N0-1 M0) who were consecutively recruited for the present study had been treated with NAC consisting of paclitaxel (80 mg/m2) weekly for 12 cycles followed by 5-FU (500 mg/m2), epirubicin (75 mg/m2) and cyclophosphamide (500 mg/m2) every 3 weeks for four cycles (paclitaxel followed by 5-fluorouracil/epirubicin/cyclophosphamide [P-FEC]) at Osaka University Hospital between 2004 and 2010. NAC was indicated for stage IIA–IIIB breast cancer patients.        Sequential                No        NA        CTRDB ID: CTR_Microarray_72. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression                
Gene set analysis was performed on gene expression data from three cohorts of 234, 170, and 175 patients with HER2-normal lymph 
node-negative breast cancer who received no systemic adjuvant therapy to identify gene sets associated prognosis and three additional cohorts of 198,
85, and 62 patients with HER2-normal stage I-III breast cancer who received
preoperative chemotherapy to identify gene sets associated with pathological complete response to therapy. "
GSE18728,CTRDB,NCI GEO,GSE18728,TX (Capecitabine+Docetaxel),,Breast cancer,Breast,Chemotherapy,Microarray,21,"R: patients with a pathological complete response (three patients), microinvasive disease at surgery (two patients), or clinical complete response after four cycles of TX (three patients) were considered as responders. All patients classified as responders received AC post-operatively.","NR: Thirteen patients were considered non-responders; 11 with a partial response (17–75% residual disease after four cycles of TX) and two with progressive disease (110–154% of baseline) after four cycles of TX. Of these, both patients with progressive disease and four patients with a partial response received additional pre-operative therapy with adriamycin and cyclophosphamide, however, the tumor measurements used to determine response category were taken prior to this additional treatment.",8,13,,,https://pubmed.ncbi.nlm.nih.gov/20012355,"ER,PgR,HER","six patients with a poor response to the initial chemotherapy received adriamycin and cyclophosphamide (AC) prior to surgery, the remainder had this additional therapy post-operatively. All tumor samples used in this analysis were taken prior to AC chemotherapy, and tumor measurements used to assess response were also taken prior to AC.",,"Women with newly diagnosed stage 2 or 3 breast cancer with a tumor size of ?2 cm, normal laboratory parameters, and a Zubrod Performance status from 0 to 2 were eligible. Patients were excluded if they had a bleeding disorder, a history of cardiac disease, or if they were pregnant or lactating.","All patients received four cycles of docetaxel and capecitabine administered every 21 days. Patients were initially treated with docetaxel (75 mg/m2 i.v.) on day 1 and capecitabine (1,000 mg/m2 p.o.) twice daily on days 2–15 every 21 days for four cycles. Due to excessive toxicity in the first 10 patients treated on protocol, both agents were dose reduced (docetaxel to 60 mg/m2 and capecitabine to 937.5 mg/m2 twice daily). After completing four cycles of docetaxel/capecitabine (TX), all patients received four cycles of adriamycin (60 mg/m2) and cyclophosphamide (600 mg/m2) on day 1 and every 21 days",Combination - Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_98
GSE8465,SELECT,NCI GEO,GSE8465,Gemcitabine|Doxorubicin,,Breast cancer,Breast,Chemotherapy,Microarray,44,R,NR,7,11,RRM1|TOP2A,,,"Hormone receptors (oestrogen receptor or progesterone receptor) and HER2 status were determined by immunohistochemistry. Baseline radiological imaging studies (mammogram, abdominal ultrasound, and chest x-ray)",After the first dose of treatment to capture single-agent treatment effects and potential changes in molecular profiles.,No,"Patients with T3, T4, N2, or T2 tumours ?3 cm were included","Treatment consisted of four cycles (21 days) of gemcitabine 1200 mg plus doxorubicin 60 mg (Gem+Dox), four cycles of gemcitabine 1000 mg plus cisplatin 70 mg (Gem+Cis), and surgery.",Combination - Sequential,No,No,NA,,"Multicentre, open-label, non-randomised, phase II study. "
GSE23988,CTRDB,NCI GEO,GSE23988,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)+Capecitabine+Docetaxel,,Breast cancer,Breast,Chemotherapy,Microarray,32,pCR,RD,7,25,,,https://pubmed.ncbi.nlm.nih.gov/21191116,Check Table 1 for a set of clinical markers,,,Prognostic : patients with stage I–II lymph node–negative breast cancers who received no systemic adjuvant therapy. neoadjuvant: patients with stage I–III breast cancer,neoadjuvant : see table 1,Combination - Sequential,No,No,NA,,"CTRDB ID: CTR_Microarray_74
Prognostic and neoadjuvant datasets included. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression"
GSE20271,CTRDB,NCI GEO,GSE20271,FAC (Cyclophosphamide+Doxorubicin+Fluorouracil),,Breast cancer,Breast,Chemotherapy,Microarray,82, pCR (pCR was defined as the complete absence of invasive cancer cells in the breast and lymph nodes)," RD (Patients with clinical or radiological disease progression were considered as having residual disease (RD) in the final analysis. After completion of neoadjuvant chemotherapy, all patients underwent modified radical mastectomy or lumpectomy and sentinel lymph node biopsy or axillary node dissection as determined by the surgeon)",7,75,,,"https://pubmed.ncbi.nlm.nih.gov/20829329,23185353","Estrogen, progesterone 
and HER-2 receptor status ",All patients underwent a pretreatment fine-needle aspiration biopsy of the tumor for gene expression profiling and treatment response prediction.,,"Patients with clinical stage I–III breast cancer were eligible. Histological diagnosis of invasive cancer and estrogen, progesterone and HER-2 receptor status were determined from a diagnostic core needle or incisional biopsy before therapy. All patients had to agree to a separate, pre-treatment research fine needle aspiration (FNA) of the cancer for gene expression analysis.","Two hundred and seventy-three patients were randomly  assigned to receive either weekly paclitaxel × 12 followed by FAC × 4 (T/FAC, n = 138),  or FAC × 6 (n = 135) neoadjuvant chemotherapy",Combination - Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_89. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
GSE103668,CTRDB,NCI GEO,GSE103668,Bevacizumab+Cisplatin,,Breast cancer,Breast,Targeted therapy|Chemotherapy,Microarray,21, response: 1,response: 0,7,14,,,https://pubmed.ncbi.nlm.nih.gov/29452344,"Negative for estrogen and progesterone receptors defined as < 1% nuclear staining by 
immunohistochemistry, HER2/Neu 0 or 1+ by immunohistochemistry, or HER2 nonamplified by 
fluorescent in situ hybridization. (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2834466/)","Patients were treated in the neoadjuvant setting, RNA was purified from core biopsy pre-treatment and pre-surgery",No,"Newly diagnosed patients with T1, N1-3, M0 or T2-4, N0-3, M0 breast cancers (with tumors ? 1.5 cm), negative for estrogen and progesterone receptors defined as < 1% nuclear staining by immunohistochemistry, HER2/Neu 0 or 1+ by immunohistochemistry, or HER2 nonamplified by fluorescent in situ hybridization were eligible for this trial.",Four treatments of cisplatin at 75 mg/m2 every 21 days were administered (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2834466/),Single,No,No,NA,,CTRDB ID: CTR_Microarray_53
GSE16391,SELECT,NCI GEO,GSE16391,Tamoxifen,,Breast cancer,Breast,Targeted therapy,Microarray,55,>50 months DFS,<50 months DFS,6,17,ESR1|ESR2|AR|EBP|KCNH2,,"Lohrisch et al., 2006",Estrogen receptor positive AND/OR Progesterone receptor positive,Sample of patients enrolled in the BIG 1-98 trial from the two hospitals where frozen samples were available,,"Histologically confirmed resectable adenocarcinoma of the breast, Must have had total mastectomy, lumpectomy, or quadrantectomy, Stage I, II, or IIIa allowed if the tumor is completely removed macroscopically and margins of the resected tumor are microscopically free of tumor, Postmenopausal, No distant metastases, including bone scans showing hot spots unconfirmed as benign disease or skeletal pain of unknown cause, At least 10% hormone receptor-positive tumor cells.Estrogen receptor positive AND/OR Progesterone receptor positive (https://clinicaltrials.gov/ct2/show/NCT00004205)","BIG 98 trial consists of four treatment groups that compare 5 years of monotherapy with letrozole (L) or tamoxifen (T), and sequential administration of one drug for 2 years followed by the other drug for 3 years. Arm I: Patients receive adjuvant oral tamoxifen daily for 5 years. Arm II: Patients receive adjuvant oral letrozole daily for 5 years. Arm III: Patients receive adjuvant oral tamoxifen daily for 2 years followed by adjuvant oral letrozole daily for 3 years. Arm IV: Patients receive adjuvant oral letrozole daily for 2 years followed by adjuvant oral tamoxifen daily for 3 years.",Single - Sequential,No,No,NA,,"Here, we aim to investigate the ability of the GGI to predict relapses in postmenopausal women who were treated with tamoxifen (T) or letrozole (L) within the BIG 1-98 trial."
GSE66305,CTRDB,NCI GEO,GSE66305,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel)+Trastuzumab,,Breast cancer,Breast,Targeted therapy|Chemotherapy,Microarray,23,pCR (pCR was defined as the absence of invasive breast cancer in both the breast and the axilla.),RD,6,17,,,https://pubmed.ncbi.nlm.nih.gov/26245675,"HER2 IHC - Diagnosis of breast cancer stage II to IIIA, HER2 positivity according to the local laboratory (immunohistochemistry [IHC] 3+ or fluorescence in situ hybridization [FISH] amplification), and no prior therapy for breast cancer. The translational biomarker program included the central reassessment of HER2 status, protein biomarker evaluation (p95-HER2, PTEN, phosphorylated AKT [pAKT], Ki67, terminal deoxynucleotidyl transferase dUTP nick end labeling [TUNEL]), the assessment of gene expression profile and copy number (CN) variations, and the study of somatic mutations of PIK3CA. ",Genomic DNA and total RNA were extracted from pretreatment frozen core biopsies of the primary tumor.,NA,,"CHER-LOB is a phase II randomized multicenter trial in which 121 patients with primary HER2-positive breast cancer were randomized to receive preoperative chemotherapy with weekly paclitaxel for 12 weeks followed by 4 weekly courses over 3 weeks of the FEC regimen (fluorouracil, epirubicin, and cyclophosphamide) plus either trastuzumab (arm A), lapatinib (arm B), or the combination of trastuzumab and lapatinib (arm C). ",Combination - Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_41
"TCGA-PAAD_phs000178
",CTRDB,NCI dbGaP|GDC,"phs000178|TCGA-PAAD
",Gemcitabine,,Pancreatic cancer,Pancreas,Chemotherapy,RNAseq,46,,,,,,,,,,,,,,No,No,NA,,
GSE63885,SELECT,NCI GEO,GSE63885,Taxane|Cyclophosphamide,,Ovarian cancer,Ovary/Fallopian Tube,Chemotherapy,Microarray,101,"CR,PR","SD,PD",50,25,"TUBB1,BCL2",,,,,,,,,No,No,NA,,
GSE32603,SELECT,NCI GEO,GSE32603,Taxane|Anthracycline,,Breast cancer,Breast,Chemotherapy,Microarray,248,pCR,RD,35,103,"TOP2A,TUBB1,BCL2",,https://pubmed.ncbi.nlm.nih.gov/26021444/   ,"HR, HER2","Core needle (16-gauge) biopsies were taken from the primary breast tumors before treatment (T1) and between 24 and 96 hours after the first dose (T2) of chemotherapy. After four cycles of anthracycline-based therapy, patients received a taxane regimen followed by surgery, when another biopsy was taken (TS)",NA,Eligible patients were women with histologically confirmed invasive breast tumors greater than 3 cm in diameter with no evidence of distant metastatic disease,"After four cycles of anthracycline-based therapy, patients received a taxane regimen followed by surgery",,No,No,NA,,Not all biopsies are from before treatment
GSE31811,SELECT,NCI GEO,GSE31811,Docetaxel,,Stomach adenocarcinoma,Esophagus/Stomach,Chemotherapy,Microarray,38,R,NR,22,16,"BCL2,TUBB1",,NA,NA,Obtained Fresh-frozen samples of tumor tissue and background gastric mucosa tissue from 19 patients with gastric cancer by endoscopic biopsy before DCS therapy.,NA,NA,NA,,No,No,NA,,
GSE4779,SELECT,NCI GEO,GSE4779,5FU|Epirubicin|Cyclophosphamide,,Breast cancer,Breast,Chemotherapy,Microarray,102,pCR,npCR,39,63,"TYMS,TOP2A,CHD1",,https://pubmed.ncbi.nlm.nih.gov/19122658/,"ER, PR",,,,,,No,No,NA,,
GSE31245,SELECT,NCI GEO,GSE31245,Taxane,,Ovarian cancer,Ovary/Fallopian Tube,Chemotherapy,Microarray,58,,,,,"TUBB1,BCL2",,https://pubmed.ncbi.nlm.nih.gov/16204010/,NA,,,,,,No,No,NA,,
GSE3964,SELECT,NCI GEO,GSE3964,FA|5FU|Irinotecan,,Colorectal cancer,Bowel,Chemotherapy,Microarray,29,sensitive,resistant,10,13,"FOLR1,FOLR2,FOLR3,TYMS,TOP2A",,https://pubmed.ncbi.nlm.nih.gov/16542501/,NA,,,,,,No,No,NA,,
GSE10255,SELECT,NCI GEO,GSE10255,Methotrexate,,Leukemia (ALL),Lymphoid,Chemotherapy,Microarray,161,dWBC<median,dWBC>median,80,80,"DHFR,TYMS",,https://pubmed.ncbi.nlm.nih.gov/18416598/,NA,,,,,,No,No,NA,,
GSE72970,SELECT,NCI GEO,GSE72970,FA|5FU|Irinotecan,,Colorectal cancer,Bowel,Chemotherapy,Microarray,124,"CR,PR","SD,PD",16,37,"FOLR1,FOLR2,FOLR3,TYMS,TOP2A",,"https://pubmed.ncbi.nlm.nih.gov/28284171,28659146,30863148",NA,,,,,,No,No,NA,,
GSE41994,SELECT,NCI GEO,GSE41994,Anastrozole,,Breast cancer,Breast,Targeted therapy,Microarray,107,,,,,CYP19A1,,https://pubmed.ncbi.nlm.nih.gov/24242068/,"ER, PR, Pik3ca, HER2",,,,,,No,No,NA,,
GSE50509,SELECT,NCI GEO,GSE50509,Vemurafenib|Dabrafenib,,Skin Cutaneous Melanoma,Skin,Targeted therapy,Microarray,61,RES,NO RES,14,8,BRAF,NCT01378975,"https://pubmed.ncbi.nlm.nih.gov/24463458,25297634",NA,,,,,,No,No,NA,,
GSE65185,SELECT,NCI GEO,GSE65185,Vemurafenib|Dabrafenib,,Skin Cutaneous Melanoma,Skin,Targeted therapy,Microarray|RNAseq,17,>7 month PFS,<7 month PFS,10,7,BRAF,,https://pubmed.ncbi.nlm.nih.gov/26359985/,,,,,,,No,No,NA,,
GSE119262,SELECT,NCI GEO,GSE119262,Everolimus,,Breast cancer,Breast,Targeted therapy,Microarray,88,delta-ki67<top tertile,delta-ki67>top tertile,30,14,MTOR,,https://pubmed.ncbi.nlm.nih.gov/20480226/,"ER, PR, HER2",,,,,,No,No,NA,,
GSE68871,SELECT,NCI GEO,GSE68871,Bortezomib|Thalidomide|Dexamethasone,Public,Leukemia (MM),Lymphoid,Targeted therapy,Microarray,118,"CR,nCR","PR,SD,VGPR",29,89,"PSMB5,PSMB1,NOS2",NCT01134484,https://pubmed.ncbi.nlm.nih.gov/26575327/,NA,,,,,,No,No,NA,,
GSE77750,SELECT,NCI GEO,GSE77750,Azacitidine,,Myelodysplastic syndromes (MDS),Other,Targeted therapy,Microarray,42,treatment,"progressed,stable",6,10,DNMT1,,"https://pubmed.ncbi.nlm.nih.gov/27416819,30223454",NA,,,,,,No,No,NA,,More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
Wongchenko et al.,SELECT,PubMed,NA,Vemurafenib|Dabrafenib,,Skin Cutaneous Melanoma,Skin,Targeted therapy,RNAseq,621,,,NA,NA,BRAF,,,,,,,,,No,No,NA,,Curated from SELECT
Roper et al.,SELECT,PubMed,https://pubmed.ncbi.nlm.nih.gov/32483558/,Osimertinib,,Non-small cell lung cancer (NSCLC),Lung,Targeted therapy,RNAseq,26,"CR,PR","SD,PD",17,9,EGFR,NCT01134484,,,,,,,,No,No,NA,,Curated from SELECT
GSE109211,SELECT,NCI GEO,GSE109211,Sorafenib,,Liver Hepatocellular Carcinoma ,Liver,Targeted therapy,Microarray,67,response,non-response,21,46,"BRAF,RAF1,FLT4,KDR,FLT3,PDGFRB,KIT,FGFR1,RET,FLT1",,https://pubmed.ncbi.nlm.nih.gov/30108162/,NA,,,,,,No,No,NA,,
TARGET_AML,SELECT,NCI,https://ocg.cancer.gov/programs/target/data-matrix,Gemtuzumab,,Leukemia (AML),Myeloid,Targeted therapy,RNAseq,107,,,,,CD33,,,,,,,,,No,No,NA,,
MMRF_MM,SELECT,MMRF,https://themmrf.org/,Dexamethasone,Permission request,Leukemia (MM),Lymphoid,Targeted therapy,RNAseq,145,,,,,NOS2,,,,,,,,,No,No,NA,,
